,alias,multipleImage,weekday,numberLikesCategory,amount_relevant_tags,moving_avg,numberPosts,numberFollowers,numberFollowing,website_available
480,jannikobenhoff,False,Sunday,10,0,34422.0,603,608839,315,1
481,jannikobenhoff,False,Tuesday,10,0,42632.4,603,608839,315,1
483,jannikobenhoff,False,Friday,10,0,42568.6,603,608839,315,1
485,jannikobenhoff,False,Wednesday,10,0,42238.4,603,608839,315,1
486,jannikobenhoff,False,Sunday,10,0,43818.6,603,608839,315,1
488,jannikobenhoff,False,Sunday,10,0,41720.4,603,608839,315,1
490,jannikobenhoff,False,Tuesday,10,0,36174.4,603,608839,315,1
492,jannikobenhoff,False,Friday,10,0,37164.0,603,608839,315,1
493,doentesporfutebol,False,Friday,10,0,29736.2,4983,947587,755,1
497,doentesporfutebol,False,Sunday,10,0,29132.2,4983,947587,755,1
498,doentesporfutebol,False,Thursday,10,0,26074.6,4983,947587,755,1
500,doentesporfutebol,False,Friday,10,0,29736.2,4983,947587,755,1
501,doentesporfutebol,False,Thursday,10,0,26074.6,4983,947587,755,1
504,doentesporfutebol,False,Thursday,10,0,26074.6,4983,947587,755,1
507,doentesporfutebol,False,Friday,9,0,29736.2,4983,947587,755,1
510,xeniaoverdose,False,Friday,10,0,34295.2,2175,842191,645,1
511,xeniaoverdose,False,Thursday,10,0,32901.4,2175,842191,645,1
512,xeniaoverdose,False,Friday,10,0,34295.2,2175,842191,645,1
513,xeniaoverdose,False,Tuesday,10,0,29004.6,2175,842191,645,1
514,xeniaoverdose,False,Sunday,10,0,36322.8,2175,842191,645,1
515,xeniaoverdose,False,Wednesday,10,0,32512.6,2175,842191,645,1
516,xeniaoverdose,False,Tuesday,10,0,29004.6,2175,842191,645,1
518,xeniaoverdose,False,Saturday,10,0,36194.0,2175,842191,645,1
520,xeniaoverdose,False,Thursday,10,0,32901.4,2175,842191,645,1
522,xeniaoverdose,False,Wednesday,10,0,32512.6,2175,842191,645,1
523,xeniaoverdose,False,Friday,10,0,34295.2,2175,842191,645,1
526,xeniaoverdose,False,Sunday,10,0,36322.8,2175,842191,645,1
528,seanopry55,False,Thursday,10,0,20103.8,1261,606141,1074,1
529,seanopry55,False,Tuesday,10,0,27714.4,1261,606141,1074,1
530,seanopry55,False,Tuesday,10,0,29185.6,1261,606141,1074,1
531,seanopry55,False,Wednesday,10,0,16618.0,1261,606141,1074,1
533,seanopry55,False,Monday,10,0,24984.4,1261,606141,1074,1
534,seanopry55,False,Thursday,10,0,20496.6,1261,606141,1074,1
536,seanopry55,False,Tuesday,9,0,23682.6,1261,606141,1074,1
538,seanopry55,False,Friday,9,0,19661.6,1261,606141,1074,1
539,seanopry55,False,Sunday,9,0,31448.4,1261,606141,1074,1
540,seanopry55,False,Friday,9,0,31657.6,1261,606141,1074,1
541,seanopry55,False,Wednesday,9,0,22655.8,1261,606141,1074,1
543,seanopry55,False,Monday,9,0,24166.6,1261,606141,1074,1
544,princepelayo,False,Friday,10,1,24669.8,5003,979755,411,1
545,princepelayo,False,Tuesday,10,1,25538.2,5003,979755,411,1
